,idade,renda,propriedadeCasa,tempoEmpregado,intensao,grau,valor,taxaJuros
39,23,71500,ALUGUEL,3.0,CONSOLIDAÇÃO DE DÍVIDAS,D,30000,
40,26,62050,ALUGUEL,6.0,MÉDICO,E,30000,17.99
41,24,12000,PRÓPRIO,4.0,OUTRO,B,2500,12.69
42,26,300000,HIPOTECA,10.0,OUTRO,A,20000,7.88
43,23,300000,PRÓPRIO,1.0,EDUCAÇÃO,F,24250,19.41
44,26,300000,PRÓPRIO,9.0,MELHORIA DE CASA,B,10000,10.38
45,26,300000,HIPOTECA,0.0,EDUCAÇÃO,D,25000,15.33
46,25,300000,HIPOTECA,9.0,MELHORIA DE CASA,E,18000,16.45
47,26,80690,ALUGUEL,8.0,PERSONAL,A,30000,7.49
48,22,66300,ALUGUEL,4.0,MÉDICO,B,30000,12.69
49,26,89028,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,A,30000,6.62
50,24,78000,ALUGUEL,4.0,CONSOLIDAÇÃO DE DÍVIDAS,D,30000,
51,23,78000,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,F,30000,18.62
52,23,92004,ALUGUEL,6.0,PERSONAL,C,30000,15.23
53,23,97000,ALUGUEL,7.0,OUTRO,B,30000,10.65
54,25,120000,ALUGUEL,9.0,EDUCAÇÃO,A,30000,7.9
55,26,280000,ALUGUEL,4.0,PERSONAL,C,10000,15.96
56,26,277104,ALUGUEL,0.0,OUTRO,B,20000,11.48
57,23,277000,PRÓPRIO,3.0,PERSONAL,A,35000,
58,25,128000,ALUGUEL,9.0,PERSONAL,A,30000,7.29
59,24,12000,PRÓPRIO,2.0,OUTRO,E,1750,
60,21,131000,ALUGUEL,0.0,OUTRO,A,30000,5.99
61,22,275000,PRÓPRIO,6.0,OUTRO,B,12000,11.58
62,26,263000,HIPOTECA,0.0,EDUCAÇÃO,B,10000,
63,25,221850,HIPOTECA,9.0,MÉDICO,D,25000,15.7
64,22,70000,ALUGUEL,6.0,EDUCAÇÃO,D,29100,15.99
65,22,12000,HIPOTECA,7.0,EDUCAÇÃO,D,1500,14.84
66,26,260000,PRÓPRIO,10.0,MELHORIA DE CASA,B,28000,10.99
67,25,259000,HIPOTECA,9.0,MELHORIA DE CASA,D,20000,14.42
68,24,255000,HIPOTECA,9.0,EDUCAÇÃO,A,9600,6.99
69,25,250000,ALUGUEL,2.0,MÉDICO,C,25000,13.49
70,25,12000,PRÓPRIO,0.0,MÉDICO,C,3000,
71,22,56950,ALUGUEL,6.0,MÉDICO,A,28000,
72,21,12000,PRÓPRIO,6.0,EDUCAÇÃO,C,3000,13.61
73,23,65000,ALUGUEL,2.0,EDUCAÇÃO,A,28000,7.9
74,26,85000,ALUGUEL,2.0,OUTRO,A,28000,7.49
75,26,12000,PRÓPRIO,2.0,EDUCAÇÃO,A,6100,7.51
76,22,88000,ALUGUEL,6.0,OUTRO,B,28000,9.91
77,21,12000,PRÓPRIO,0.0,PERSONAL,C,4200,13.48
78,22,12000,PRÓPRIO,6.0,CONSOLIDAÇÃO DE DÍVIDAS,A,4750,7.14
79,24,83004,ALUGUEL,0.0,OUTRO,D,28000,15.99
80,24,250000,ALUGUEL,2.0,EDUCAÇÃO,C,18000,12.98
81,144,250000,ALUGUEL,4.0,OUTRO,C,4800,13.57
82,25,100000,ALUGUEL,5.0,CONSOLIDAÇÃO DE DÍVIDAS,B,28000,12.69
83,26,110000,ALUGUEL,10.0,EDUCAÇÃO,A,28000,8.9
84,26,12000,PRÓPRIO,0.0,CONSOLIDAÇÃO DE DÍVIDAS,A,2700,
85,22,108000,ALUGUEL,6.0,EDUCAÇÃO,B,28000,
86,23,151200,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,B,28000,11.11
87,24,69000,ALUGUEL,2.0,MELHORIA DE CASA,A,27600,
88,21,12000,HIPOTECA,5.0,CONSOLIDAÇÃO DE DÍVIDAS,E,3250,15.68
89,22,70000,ALUGUEL,4.0,EDUCAÇÃO,C,27500,13.06
90,22,240000,PRÓPRIO,6.0,PERSONAL,B,25000,
91,26,73200,ALUGUEL,5.0,OUTRO,D,27050,15.62
92,24,83000,ALUGUEL,5.0,PERSONAL,C,27000,13.49
93,24,73399,ALUGUEL,0.0,OUTRO,D,27000,
94,23,62500,ALUGUEL,7.0,MÉDICO,B,26000,11.71
95,23,120000,ALUGUEL,1.0,EDUCAÇÃO,B,25600,12.69
96,24,12360,PRÓPRIO,2.0,MÉDICO,C,1600,13.57
97,22,60000,ALUGUEL,0.0,OUTRO,B,25475,10.99
98,25,234000,HIPOTECA,3.0,MÉDICO,C,20000,14.27
99,24,234000,PRÓPRIO,8.0,MELHORIA DE CASA,B,20000,8.88
100,26,234000,HIPOTECA,10.0,MELHORIA DE CASA,B,21600,12.18
101,25,221004,HIPOTECA,6.0,CONSOLIDAÇÃO DE DÍVIDAS,D,11900,14.42
102,26,232500,HIPOTECA,0.0,MÉDICO,C,25000,14.17
103,25,230000,HIPOTECA,5.0,MÉDICO,C,35000,13.99
104,23,83000,ALUGUEL,7.0,EDUCAÇÃO,B,25300,10.99
105,22,12600,HIPOTECA,,PERSONAL,A,2000,5.42
106,25,12600,PRÓPRIO,3.0,PERSONAL,C,1750,13.61
107,21,42500,ALUGUEL,3.0,EDUCAÇÃO,C,25000,12.73
108,24,41000,ALUGUEL,2.0,MELHORIA DE CASA,D,25000,
109,25,12816,PRÓPRIO,0.0,CONSOLIDAÇÃO DE DÍVIDAS,C,3000,12.87
110,24,12960,HIPOTECA,1.0,MELHORIA DE CASA,B,3650,9.91
111,26,226000,HIPOTECA,4.0,MELHORIA DE CASA,B,20000,11.49
112,25,225000,HIPOTECA,0.0,MELHORIA DE CASA,E,30000,19.91
113,26,213000,HIPOTECA,6.0,EDUCAÇÃO,B,35000,10.65
114,24,225000,ALUGUEL,0.0,MÉDICO,B,6000,
115,24,12960,HIPOTECA,0.0,CONSOLIDAÇÃO DE DÍVIDAS,B,4500,11.83
116,23,12996,PRÓPRIO,0.0,CONSOLIDAÇÃO DE DÍVIDAS,C,2400,13.49
117,22,42000,ALUGUEL,6.0,MÉDICO,D,25000,14.59
118,26,48000,ALUGUEL,2.0,EDUCAÇÃO,B,25000,9.64
119,25,12996,PRÓPRIO,1.0,MÉDICO,D,3600,14.59
120,22,12996,PRÓPRIO,1.0,EDUCAÇÃO,B,4750,
121,25,42360,ALUGUEL,1.0,EDUCAÇÃO,E,25000,16.35
122,21,49000,ALUGUEL,4.0,EDUCAÇÃO,B,25000,10.99
123,25,225000,HIPOTECA,0.0,OUTRO,F,25000,18.67
124,26,225000,ALUGUEL,1.0,EDUCAÇÃO,A,3000,9.32
125,23,225000,ALUGUEL,8.0,CONSOLIDAÇÃO DE DÍVIDAS,A,7500,8.63
126,26,225000,HIPOTECA,2.0,OUTRO,B,25000,10.08
127,22,49464,ALUGUEL,5.0,PERSONAL,B,25000,11.83
128,23,50000,ALUGUEL,1.0,CONSOLIDAÇÃO DE DÍVIDAS,A,25000,7.9
129,25,50000,ALUGUEL,4.0,MELHORIA DE CASA,A,25000,5.99
130,24,44000,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,15.33
131,23,50000,ALUGUEL,1.0,OUTRO,B,25000,11.83
132,22,50004,ALUGUEL,0.0,OUTRO,B,25000,10.36
133,22,50004,ALUGUEL,3.0,OUTRO,C,25000,12.23
134,22,52000,ALUGUEL,2.0,EDUCAÇÃO,B,25000,11.11
135,23,13200,PRÓPRIO,3.0,CONSOLIDAÇÃO DE DÍVIDAS,A,4950,7.9
136,24,220000,HIPOTECA,1.0,EDUCAÇÃO,B,25000,11.58
137,23,216000,HIPOTECA,5.0,CONSOLIDAÇÃO DE DÍVIDAS,A,21000,8.9
138,25,216000,HIPOTECA,2.0,EDUCAÇÃO,D,25000,16.07
139,26,216000,HIPOTECA,10.0,EDUCAÇÃO,C,20000,14.22
140,23,215000,HIPOTECA,7.0,MÉDICO,C,35000,14.79
141,26,215000,HIPOTECA,11.0,EDUCAÇÃO,A,12000,7.88
142,23,52000,ALUGUEL,1.0,PERSONAL,C,25000,13.22
143,26,46000,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,11.86
144,22,53000,ALUGUEL,5.0,EDUCAÇÃO,C,25000,13.43
145,26,47000,ALUGUEL,0.0,MELHORIA DE CASA,D,25000,15.28
146,23,47000,ALUGUEL,1.0,OUTRO,E,25000,17.93
147,23,13200,HIPOTECA,2.0,EDUCAÇÃO,B,1400,9.25
148,21,13200,PRÓPRIO,0.0,OUTRO,C,4500,12.98
149,22,210000,HIPOTECA,6.0,OUTRO,B,16000,10.62
150,26,210000,PRÓPRIO,10.0,PERSONAL,B,22000,11.83
151,26,48000,ALUGUEL,5.0,OUTRO,F,25000,18.43
152,22,54996,ALUGUEL,6.0,EDUCAÇÃO,B,25000,
153,24,55000,ALUGUEL,4.0,MELHORIA DE CASA,D,25000,
154,23,55000,ALUGUEL,4.0,EDUCAÇÃO,B,25000,11.36
155,23,55000,ALUGUEL,4.0,EDUCAÇÃO,D,25000,15.65
156,24,55164,ALUGUEL,8.0,PERSONAL,C,25000,13.22
157,26,56000,ALUGUEL,4.0,CONSOLIDAÇÃO DE DÍVIDAS,C,25000,12.87
158,24,203500,PRÓPRIO,8.0,MÉDICO,C,20000,13.04
159,23,190000,HIPOTECA,5.0,EDUCAÇÃO,F,22000,17.58
160,23,13920,PRÓPRIO,2.0,PERSONAL,E,7750,17.04
161,24,60000,ALUGUEL,0.0,PERSONAL,B,25000,10.99
162,24,60000,ALUGUEL,2.0,PERSONAL,B,25000,11.11
163,26,54000,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,14.83
164,23,14000,PRÓPRIO,2.0,CONSOLIDAÇÃO DE DÍVIDAS,D,4000,
165,24,200000,ALUGUEL,8.0,MÉDICO,B,12000,12.69
166,24,200000,HIPOTECA,8.0,MELHORIA DE CASA,C,12000,13.49
167,21,200000,HIPOTECA,5.0,EDUCAÇÃO,C,16000,14.65
168,25,54000,ALUGUEL,3.0,MELHORIA DE CASA,E,25000,16.82
169,23,60000,ALUGUEL,3.0,PERSONAL,C,25000,12.73
170,23,60000,ALUGUEL,7.0,PERSONAL,B,25000,10.25
171,21,60000,ALUGUEL,6.0,EDUCAÇÃO,B,25000,10.99
172,25,61959,ALUGUEL,9.0,MÉDICO,C,25000,12.73
173,22,56400,ALUGUEL,2.0,MELHORIA DE CASA,D,25000,14.96
174,23,200000,HIPOTECA,7.0,EDUCAÇÃO,A,28000,
175,21,200000,HIPOTECA,2.0,CONSOLIDAÇÃO DE DÍVIDAS,C,25000,13.99
176,24,200000,HIPOTECA,3.0,OUTRO,A,24000,7.49
177,26,200000,HIPOTECA,4.0,EDUCAÇÃO,C,15000,14.79
178,25,200000,HIPOTECA,2.0,CONSOLIDAÇÃO DE DÍVIDAS,B,15500,11.99
179,24,200000,ALUGUEL,8.0,EDUCAÇÃO,A,10000,8.49
180,24,66000,ALUGUEL,3.0,EDUCAÇÃO,B,25000,9.91
181,22,66000,ALUGUEL,6.0,EDUCAÇÃO,C,25000,13.06
182,22,200000,HIPOTECA,6.0,CONSOLIDAÇÃO DE DÍVIDAS,A,9000,6.17
183,144,200000,HIPOTECA,4.0,EDUCAÇÃO,B,6000,11.86
184,25,200000,ALUGUEL,5.0,EDUCAÇÃO,D,18000,16.32
185,25,200000,HIPOTECA,2.0,OUTRO,B,12000,10.38
186,25,200000,HIPOTECA,9.0,PERSONAL,C,23050,14.35
187,24,200000,HIPOTECA,8.0,CONSOLIDAÇÃO DE DÍVIDAS,B,20000,
188,24,60000,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,E,25000,
189,21,14400,PRÓPRIO,0.0,MELHORIA DE CASA,B,3000,
190,26,66996,ALUGUEL,10.0,PERSONAL,D,25000,15.21
191,23,67000,ALUGUEL,3.0,EDUCAÇÃO,A,25000,7.9
192,24,67000,ALUGUEL,2.0,OUTRO,B,25000,10.99
193,24,68000,ALUGUEL,5.0,PERSONAL,D,25000,14.09
194,25,69000,ALUGUEL,9.0,PERSONAL,D,25000,17.49
195,25,200000,HIPOTECA,0.0,EDUCAÇÃO,B,12000,11.48
196,26,188000,HIPOTECA,10.0,OUTRO,E,20000,17.74
197,26,200000,HIPOTECA,4.0,PERSONAL,C,3000,13.92
198,25,69996,ALUGUEL,9.0,EDUCAÇÃO,D,25000,15.21
199,22,14400,PRÓPRIO,2.0,MÉDICO,B,4000,10.99
200,24,70000,ALUGUEL,3.0,EDUCAÇÃO,B,25000,11.86
201,24,14400,PRÓPRIO,5.0,PERSONAL,A,6000,7.49
202,24,56100,ALUGUEL,7.0,MÉDICO,D,25000,16.49
203,25,66000,ALUGUEL,9.0,OUTRO,D,25000,15.33
204,26,66000,ALUGUEL,3.0,MELHORIA DE CASA,B,25000,11.58
205,25,14400,PRÓPRIO,7.0,EDUCAÇÃO,A,5375,5.79
206,25,72612,ALUGUEL,9.0,MÉDICO,C,25000,13.11
207,23,74000,ALUGUEL,3.0,MÉDICO,B,25000,10.36
208,25,75000,ALUGUEL,9.0,CONSOLIDAÇÃO DE DÍVIDAS,B,25000,10.36
209,24,192000,ALUGUEL,0.0,MÉDICO,C,22000,
210,21,192000,HIPOTECA,123.0,OUTRO,A,20000,6.54
211,25,191000,HIPOTECA,1.0,MÉDICO,B,10000,12.53
212,26,190300,HIPOTECA,5.0,PERSONAL,A,15000,
213,22,190000,HIPOTECA,3.0,OUTRO,C,10000,
214,24,75000,ALUGUEL,4.0,EDUCAÇÃO,B,25000,10.25
215,22,71000,ALUGUEL,1.0,EDUCAÇÃO,D,25000,15.95
216,26,190000,HIPOTECA,3.0,OUTRO,B,20000,12.18
217,23,189996,PRÓPRIO,0.0,PERSONAL,B,24000,11.83
218,23,78000,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,C,25000,
219,23,78000,ALUGUEL,1.0,OUTRO,B,25000,10.62
220,23,78504,ALUGUEL,7.0,OUTRO,B,25000,10.74
221,25,186000,PRÓPRIO,9.0,OUTRO,B,10000,10.25
222,24,185000,HIPOTECA,,EDUCAÇÃO,B,35000,12.42
223,25,185000,ALUGUEL,6.0,OUTRO,C,15000,15.27
224,24,62050,ALUGUEL,8.0,MÉDICO,D,25000,15.33
225,23,79416,ALUGUEL,7.0,OUTRO,D,25000,15.21
226,21,14400,PRÓPRIO,4.0,OUTRO,C,6250,14.72
227,24,79631,ALUGUEL,8.0,PERSONAL,D,25000,15.7
228,24,79632,ALUGUEL,0.0,EDUCAÇÃO,C,25000,13.35
229,21,14400,HIPOTECA,0.0,MÉDICO,C,1500,
230,24,80000,ALUGUEL,6.0,EDUCAÇÃO,A,25000,6.62
231,26,80000,ALUGUEL,5.0,CONSOLIDAÇÃO DE DÍVIDAS,C,25000,13.61
232,22,185000,ALUGUEL,4.0,MÉDICO,B,25000,11.36
233,26,185000,PRÓPRIO,10.0,PERSONAL,A,5000,7.68
234,24,184992,ALUGUEL,7.0,MELHORIA DE CASA,D,22000,14.46
235,23,184000,PRÓPRIO,5.0,EDUCAÇÃO,B,2500,11.83
236,24,172000,HIPOTECA,6.0,CONSOLIDAÇÃO DE DÍVIDAS,C,20000,13.47
237,24,183000,HIPOTECA,2.0,MÉDICO,B,20000,11.49
238,22,183000,HIPOTECA,3.0,EDUCAÇÃO,A,1000,
239,25,182952,HIPOTECA,9.0,PERSONAL,A,15000,6.03
240,23,74004,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,E,25000,16.35
241,26,74004,ALUGUEL,10.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,
242,25,81000,ALUGUEL,5.0,CONSOLIDAÇÃO DE DÍVIDAS,A,25000,7.29
243,23,81600,ALUGUEL,1.0,MÉDICO,B,25000,11.36
244,24,82000,ALUGUEL,8.0,OUTRO,B,25000,10.25
245,24,83000,ALUGUEL,5.0,EDUCAÇÃO,B,25000,11.12
246,24,83000,ALUGUEL,5.0,PERSONAL,D,25000,12.92
247,24,180000,ALUGUEL,8.0,EDUCAÇÃO,E,18000,18.64
248,23,180000,HIPOTECA,8.0,PERSONAL,A,28000,7.51
249,23,14400,PRÓPRIO,2.0,MELHORIA DE CASA,E,4000,16.7
250,22,14400,PRÓPRIO,0.0,PERSONAL,B,2100,11.14
251,22,84500,ALUGUEL,6.0,PERSONAL,F,25000,18.3
252,24,85000,ALUGUEL,5.0,MÉDICO,B,25000,10.62
253,24,180000,HIPOTECA,7.0,OUTRO,B,14000,11.99
254,26,180000,HIPOTECA,2.0,OUTRO,B,12000,9.63
255,25,142800,HIPOTECA,9.0,MÉDICO,F,10000,18.25
256,23,14664,HIPOTECA,0.0,CONSOLIDAÇÃO DE DÍVIDAS,C,6000,
257,24,87000,ALUGUEL,8.0,MELHORIA DE CASA,D,25000,14.84
258,24,75000,ALUGUEL,0.0,OUTRO,E,25000,14.7
259,23,76000,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,16.02
260,23,66215,ALUGUEL,1.0,MÉDICO,D,25000,15.37
261,25,90000,ALUGUEL,9.0,MÉDICO,B,25000,10.99
262,21,15000,PRÓPRIO,0.0,MELHORIA DE CASA,A,6200,7.9
263,26,180000,PRÓPRIO,2.0,PERSONAL,B,25000,10.99
264,24,180000,PRÓPRIO,8.0,EDUCAÇÃO,B,21000,11.48
265,25,180000,PRÓPRIO,9.0,MÉDICO,C,20000,14.26
266,26,180000,PRÓPRIO,0.0,MELHORIA DE CASA,A,10000,8.0
267,25,180000,HIPOTECA,3.0,OUTRO,B,9950,11.26
268,23,15000,PRÓPRIO,7.0,MÉDICO,B,4475,
269,23,78000,ALUGUEL,2.0,OUTRO,D,25000,16.32
270,25,66300,ALUGUEL,3.0,MÉDICO,E,25000,17.93
271,23,90000,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,B,25000,11.36
272,24,79000,ALUGUEL,9.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,14.96
273,24,91800,ALUGUEL,4.0,PERSONAL,C,25000,13.43
274,25,92000,ALUGUEL,6.0,MELHORIA DE CASA,B,25000,12.69
275,24,92000,ALUGUEL,1.0,OUTRO,C,25000,12.73
276,23,93600,ALUGUEL,3.0,OUTRO,D,25000,15.21
277,23,15000,HIPOTECA,1.0,MÉDICO,C,1750,12.68
278,23,70550,ALUGUEL,3.0,MÉDICO,F,25000,19.04
279,25,83800,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,15.95
280,26,175000,HIPOTECA,3.0,OUTRO,A,2600,8.9
281,25,175000,HIPOTECA,10.0,MELHORIA DE CASA,A,8000,7.9
282,22,175000,HIPOTECA,6.0,EDUCAÇÃO,B,18000,
283,23,175000,HIPOTECA,8.0,PERSONAL,B,21000,11.99
284,23,15000,PRÓPRIO,4.0,CONSOLIDAÇÃO DE DÍVIDAS,C,4000,13.98
285,23,15000,PRÓPRIO,4.0,OUTRO,B,4600,10.99
286,22,88000,ALUGUEL,6.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,15.58
287,25,74800,ALUGUEL,2.0,MÉDICO,B,25000,10.99
288,25,88000,ALUGUEL,0.0,OUTRO,D,25000,14.96
289,25,15000,PRÓPRIO,2.0,MELHORIA DE CASA,D,1750,15.31
290,26,88000,ALUGUEL,2.0,OUTRO,D,25000,15.65
291,25,100000,ALUGUEL,1.0,OUTRO,B,25000,9.33
292,23,15000,HIPOTECA,0.0,PERSONAL,C,3600,13.47
293,24,102400,ALUGUEL,8.0,PERSONAL,B,25000,10.36
294,24,92000,ALUGUEL,1.0,MELHORIA DE CASA,E,25000,16.77
295,23,93000,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,14.59
296,22,175000,ALUGUEL,6.0,OUTRO,C,3500,11.91
297,23,175000,HIPOTECA,3.0,EDUCAÇÃO,A,7200,8.38
298,25,174708,ALUGUEL,9.0,OUTRO,B,9000,10.59
299,25,174000,HIPOTECA,2.0,CONSOLIDAÇÃO DE DÍVIDAS,C,8800,14.27
300,26,174000,ALUGUEL,8.0,CONSOLIDAÇÃO DE DÍVIDAS,B,12000,12.53
301,25,162000,HIPOTECA,5.0,CONSOLIDAÇÃO DE DÍVIDAS,E,25000,16.0
302,26,173467,HIPOTECA,10.0,OUTRO,B,10000,11.71
303,21,15000,PRÓPRIO,0.0,MELHORIA DE CASA,C,3175,11.54
304,25,96000,ALUGUEL,2.0,MELHORIA DE CASA,E,25000,15.68
305,21,15120,HIPOTECA,0.0,EDUCAÇÃO,B,1500,10.59
306,24,97908,ALUGUEL,8.0,MELHORIA DE CASA,D,25000,12.61
307,26,110000,ALUGUEL,3.0,PERSONAL,C,25000,
308,23,15204,HIPOTECA,7.0,PERSONAL,A,2800,8.49
309,25,159600,ALUGUEL,0.0,PERSONAL,D,30000,17.27
310,24,171500,ALUGUEL,6.0,CONSOLIDAÇÃO DE DÍVIDAS,A,18000,8.9
311,25,170004,HIPOTECA,3.0,MÉDICO,B,10000,11.11
312,24,158004,ALUGUEL,0.0,MELHORIA DE CASA,D,25000,14.59
313,26,170000,ALUGUEL,0.0,OUTRO,B,13000,12.42
314,24,83300,ALUGUEL,0.0,MÉDICO,D,25000,
315,24,110000,ALUGUEL,7.0,MELHORIA DE CASA,D,25000,15.7
316,22,15360,PRÓPRIO,7.0,MELHORIA DE CASA,B,2500,12.53
317,25,134300,ALUGUEL,3.0,MÉDICO,D,5000,16.49
318,25,170000,HIPOTECA,2.0,EDUCAÇÃO,A,20000,7.49
319,22,100580,ALUGUEL,6.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,14.96
320,25,113000,ALUGUEL,7.0,MÉDICO,C,25000,12.73
321,24,120000,ALUGUEL,8.0,EDUCAÇÃO,B,25000,10.65
322,25,120000,ALUGUEL,6.0,MÉDICO,B,25000,10.74
323,23,120000,ALUGUEL,7.0,EDUCAÇÃO,B,25000,9.99
324,24,91800,ALUGUEL,5.0,MÉDICO,D,25000,15.33
325,21,15600,PRÓPRIO,5.0,OUTRO,A,1000,7.29
326,26,108000,ALUGUEL,2.0,PERSONAL,D,25000,15.05
327,26,129996,ALUGUEL,6.0,PERSONAL,B,25000,10.75
328,23,130000,ALUGUEL,4.0,EDUCAÇÃO,D,25000,16.02
329,23,130000,ALUGUEL,7.0,OUTRO,B,25000,11.49
330,25,170000,PRÓPRIO,4.0,EDUCAÇÃO,B,20000,12.53
331,26,170000,HIPOTECA,0.0,OUTRO,C,12000,13.57
332,22,169000,ALUGUEL,1.0,PERSONAL,B,14000,11.14
333,26,168750,ALUGUEL,10.0,MÉDICO,C,24250,12.87
334,23,168600,ALUGUEL,3.0,EDUCAÇÃO,B,20000,11.58
335,24,168288,ALUGUEL,5.0,MELHORIA DE CASA,B,1800,11.12
336,25,168000,HIPOTECA,2.0,PERSONAL,B,35000,10.65
337,24,133300,ALUGUEL,6.0,CONSOLIDAÇÃO DE DÍVIDAS,B,25000,10.37
338,24,15600,PRÓPRIO,5.0,MELHORIA DE CASA,A,3300,6.39
339,24,134000,ALUGUEL,8.0,PERSONAL,D,25000,16.07
340,25,134000,ALUGUEL,7.0,MÉDICO,B,25000,10.62
341,25,15600,PRÓPRIO,0.0,OUTRO,F,3200,18.09
342,25,135000,ALUGUEL,5.0,EDUCAÇÃO,B,25000,11.36
343,26,135660,ALUGUEL,10.0,CONSOLIDAÇÃO DE DÍVIDAS,B,25000,12.53
344,25,145000,ALUGUEL,0.0,EDUCAÇÃO,B,25000,9.99
345,23,150000,ALUGUEL,4.0,EDUCAÇÃO,B,25000,10.36
346,23,165000,HIPOTECA,3.0,EDUCAÇÃO,A,9600,5.99
347,22,153000,HIPOTECA,5.0,CONSOLIDAÇÃO DE DÍVIDAS,D,24000,15.62
348,24,165000,HIPOTECA,5.0,PERSONAL,B,20000,10.37
349,25,165000,HIPOTECA,0.0,MELHORIA DE CASA,F,25000,19.74
350,21,165000,HIPOTECA,5.0,EDUCAÇÃO,A,20000,6.91
351,23,16000,PRÓPRIO,7.0,MÉDICO,A,6000,7.9
352,23,16000,HIPOTECA,3.0,CONSOLIDAÇÃO DE DÍVIDAS,C,2275,13.06
353,23,16000,PRÓPRIO,7.0,PERSONAL,A,2000,6.39
354,23,148000,ALUGUEL,1.0,CONSOLIDAÇÃO DE DÍVIDAS,E,25000,14.93
355,23,16000,HIPOTECA,1.0,MÉDICO,C,5600,12.84
356,24,16020,PRÓPRIO,3.0,OUTRO,E,3625,17.14
357,22,16094,HIPOTECA,2.0,OUTRO,A,5500,7.14
