idade,renda,propriedadeCasa,tempoEmprego,intensao,grau,valor,juros
24,69000,0,2,5,0,27600,11
21,12000,1,5,0,4,3250,15
22,70000,0,4,1,2,27500,13
22,240000,3,6,4,1,25000,11
26,73200,0,5,3,3,27050,15
24,83000,0,5,4,2,27000,13
24,73399,0,0,3,3,27000,11
23,62500,0,7,2,1,26000,11
23,120000,0,1,1,1,25600,12
24,12360,3,2,2,2,1600,13
22,60000,0,0,3,1,25475,10
25,234000,1,3,2,2,20000,14
24,234000,3,8,5,1,20000,8
26,234000,1,10,5,1,21600,12
25,221004,1,6,0,3,11900,14
26,232500,1,0,2,2,25000,14
25,230000,1,5,2,2,35000,13
23,83000,0,7,1,1,25300,10
22,12600,1,4,4,0,2000,5
25,12600,3,3,4,2,1750,13
21,42500,0,3,1,2,25000,12
24,41000,0,2,5,3,25000,11
25,12816,3,0,0,2,3000,12
24,12960,1,1,5,1,3650,9
26,226000,1,4,5,1,20000,11
25,225000,1,0,5,4,30000,19
26,213000,1,6,1,1,35000,10
24,225000,0,0,2,1,6000,11
24,12960,1,0,0,1,4500,11
23,12996,3,0,0,2,2400,13
22,42000,0,6,2,3,25000,14
26,48000,0,2,1,1,25000,9
25,12996,3,1,2,3,3600,14
22,12996,3,1,1,1,4750,11
25,42360,0,1,1,4,25000,16
21,49000,0,4,1,1,25000,10
25,225000,1,0,3,5,25000,18
26,225000,0,1,1,0,3000,9
23,225000,0,8,0,0,7500,8
26,225000,1,2,3,1,25000,10
22,49464,0,5,4,1,25000,11
23,50000,0,1,0,0,25000,7
25,50000,0,4,5,0,25000,5
24,44000,0,2,0,3,25000,15
23,50000,0,1,3,1,25000,11
22,50004,0,0,3,1,25000,10
22,50004,0,3,3,2,25000,12
22,52000,0,2,1,1,25000,11
23,13200,3,3,0,0,4950,7
24,220000,1,1,1,1,25000,11
23,216000,1,5,0,0,21000,8
25,216000,1,2,1,3,25000,16
26,216000,1,10,1,2,20000,14
23,215000,1,7,2,2,35000,14
26,215000,1,11,1,0,12000,7
23,52000,0,1,4,2,25000,13
26,46000,0,2,0,3,25000,11
22,53000,0,5,1,2,25000,13
26,47000,0,0,5,3,25000,15
23,47000,0,1,3,4,25000,17
23,13200,1,2,1,1,1400,9
21,13200,3,0,3,2,4500,12
22,210000,1,6,3,1,16000,10
26,210000,3,10,4,1,22000,11
26,48000,0,5,3,5,25000,18
22,54996,0,6,1,1,25000,11
24,55000,0,4,5,3,25000,11
23,55000,0,4,1,1,25000,11
23,55000,0,4,1,3,25000,15
24,55164,0,8,4,2,25000,13
26,56000,0,4,0,2,25000,12
24,203500,3,8,2,2,20000,13
23,190000,1,5,1,5,22000,17
23,13920,3,2,4,4,7750,17
24,60000,0,0,4,1,25000,10
24,60000,0,2,4,1,25000,11
26,54000,0,7,0,3,25000,14
23,14000,3,2,0,3,4000,11
24,200000,0,8,2,1,12000,12
24,200000,1,8,5,2,12000,13
21,200000,1,5,1,2,16000,14
25,54000,0,3,5,4,25000,16
23,60000,0,3,4,2,25000,12
23,60000,0,7,4,1,25000,10
21,60000,0,6,1,1,25000,10
25,61959,0,9,2,2,25000,12
22,56400,0,2,5,3,25000,14
23,200000,1,7,1,0,28000,11
21,200000,1,2,0,2,25000,13
24,200000,1,3,3,0,24000,7
26,200000,1,4,1,2,15000,14
25,200000,1,2,0,1,15500,11
24,200000,0,8,1,0,10000,8
24,66000,0,3,1,1,25000,9
22,66000,0,6,1,2,25000,13
22,200000,1,6,0,0,9000,6
144,200000,1,4,1,1,6000,11
25,200000,0,5,1,3,18000,16
25,200000,1,2,3,1,12000,10
25,200000,1,9,4,2,23050,14
24,200000,1,8,0,1,20000,11
24,60000,0,2,0,4,25000,11
21,14400,3,0,5,1,3000,11
26,66996,0,10,4,3,25000,15
23,67000,0,3,1,0,25000,7
24,67000,0,2,3,1,25000,10
24,68000,0,5,4,3,25000,14
25,69000,0,9,4,3,25000,17
25,200000,1,0,1,1,12000,11
26,188000,1,10,3,4,20000,17
26,200000,1,4,4,2,3000,13
25,69996,0,9,1,3,25000,15
22,14400,3,2,2,1,4000,10
24,70000,0,3,1,1,25000,11
24,14400,3,5,4,0,6000,7
24,56100,0,7,2,3,25000,16
25,66000,0,9,3,3,25000,15
26,66000,0,3,5,1,25000,11
25,14400,3,7,1,0,5375,5
25,72612,0,9,2,2,25000,13
23,74000,0,3,2,1,25000,10
25,75000,0,9,0,1,25000,10
24,192000,0,0,2,2,22000,11
21,192000,1,123,3,0,20000,6
25,191000,1,1,2,1,10000,12
26,190300,1,5,4,0,15000,11
22,190000,1,3,3,2,10000,11
24,75000,0,4,1,1,25000,10
22,71000,0,1,1,3,25000,15
26,190000,1,3,3,1,20000,12
23,189996,3,0,4,1,24000,11
23,78000,0,7,0,2,25000,11
23,78000,0,1,3,1,25000,10
23,78504,0,7,3,1,25000,10
25,186000,3,9,3,1,10000,10
24,185000,1,4,1,1,35000,12
25,185000,0,6,3,2,15000,15
24,62050,0,8,2,3,25000,15
23,79416,0,7,3,3,25000,15
21,14400,3,4,3,2,6250,14
24,79631,0,8,4,3,25000,15
24,79632,0,0,1,2,25000,13
21,14400,1,0,2,2,1500,11
24,80000,0,6,1,0,25000,6
26,80000,0,5,0,2,25000,13
22,185000,0,4,2,1,25000,11
26,185000,3,10,4,0,5000,7
24,184992,0,7,5,3,22000,14
23,184000,3,5,1,1,2500,11
24,172000,1,6,0,2,20000,13
24,183000,1,2,2,1,20000,11
22,183000,1,3,1,0,1000,11
25,182952,1,9,4,0,15000,6
23,74004,0,7,0,4,25000,16
26,74004,0,10,0,3,25000,11
25,81000,0,5,0,0,25000,7
23,81600,0,1,2,1,25000,11
24,82000,0,8,3,1,25000,10
24,83000,0,5,1,1,25000,11
24,83000,0,5,4,3,25000,12
24,180000,0,8,1,4,18000,18
23,180000,1,8,4,0,28000,7
23,14400,3,2,5,4,4000,16
22,14400,3,0,4,1,2100,11
22,84500,0,6,4,5,25000,18
24,85000,0,5,2,1,25000,10
24,180000,1,7,3,1,14000,11
26,180000,1,2,3,1,12000,9
25,142800,1,9,2,5,10000,18
23,14664,1,0,0,2,6000,11
24,87000,0,8,5,3,25000,14
24,75000,0,0,3,4,25000,14
23,76000,0,7,0,3,25000,16
23,66215,0,1,2,3,25000,15
25,90000,0,9,2,1,25000,10
21,15000,3,0,5,0,6200,7
26,180000,3,2,4,1,25000,10
24,180000,3,8,1,1,21000,11
25,180000,3,9,2,2,20000,14
26,180000,3,0,5,0,10000,8
25,180000,1,3,3,1,9950,11
23,15000,3,7,2,1,4475,11
23,78000,0,2,3,3,25000,16
25,66300,0,3,2,4,25000,17
23,90000,0,0,0,1,25000,11
24,79000,0,9,0,3,25000,14
24,91800,0,4,4,2,25000,13
25,92000,0,6,5,1,25000,12
24,92000,0,1,3,2,25000,12
23,93600,0,3,3,3,25000,15
23,15000,1,1,2,2,1750,12
23,70550,0,3,2,5,25000,19
25,83800,0,2,0,3,25000,15
26,175000,1,3,3,0,2600,8
25,175000,1,10,5,0,8000,7
22,175000,1,6,1,1,18000,11
23,175000,1,8,4,1,21000,11
23,15000,3,4,0,2,4000,13
23,15000,3,4,3,1,4600,10
22,88000,0,6,0,3,25000,15
25,74800,0,2,2,1,25000,10
25,88000,0,0,3,3,25000,14
25,15000,3,2,5,3,1750,15
26,88000,0,2,3,3,25000,15
25,100000,0,1,3,1,25000,9
23,15000,1,0,4,2,3600,13
24,102400,0,8,4,1,25000,10
24,92000,0,1,5,4,25000,16
23,93000,0,0,0,3,25000,14
22,175000,0,6,3,2,3500,11
23,175000,1,3,1,0,7200,8
25,174708,0,9,3,1,9000,10
25,174000,1,2,0,2,8800,14
26,174000,0,8,0,1,12000,12
25,162000,1,5,0,4,25000,16
26,173467,1,10,3,1,10000,11
21,15000,3,0,5,2,3175,11
25,96000,0,2,5,4,25000,15
21,15120,1,0,1,1,1500,10
24,97908,0,8,5,3,25000,12
26,110000,0,3,4,2,25000,11
23,15204,1,7,4,0,2800,8
25,159600,0,0,4,3,30000,17
24,171500,0,6,0,0,18000,8
25,170004,1,3,2,1,10000,11
24,158004,0,0,5,3,25000,14
26,170000,0,0,3,1,13000,12
24,83300,0,0,2,3,25000,11
24,110000,0,7,5,3,25000,15
22,15360,3,7,5,1,2500,12
25,134300,0,3,2,3,5000,16
25,170000,1,2,1,0,20000,7
22,100580,0,6,0,3,25000,14
25,113000,0,7,2,2,25000,12
24,120000,0,8,1,1,25000,10
25,120000,0,6,2,1,25000,10
23,120000,0,7,1,1,25000,9
24,91800,0,5,2,3,25000,15
21,15600,3,5,3,0,1000,7
26,108000,0,2,4,3,25000,15
26,129996,0,6,4,1,25000,10
23,130000,0,4,1,3,25000,16
23,130000,0,7,3,1,25000,11
25,170000,3,4,1,1,20000,12
26,170000,1,0,3,2,12000,13
22,169000,0,1,4,1,14000,11
26,168750,0,10,2,2,24250,12
23,168600,0,3,1,1,20000,11
24,168288,0,5,5,1,1800,11
25,168000,1,2,4,1,35000,10
24,133300,0,6,0,1,25000,10
24,15600,3,5,5,0,3300,6
24,134000,0,8,4,3,25000,16
25,134000,0,7,2,1,25000,10
25,15600,3,0,3,5,3200,18
25,135000,0,5,1,1,25000,11
26,135660,0,10,0,1,25000,12
25,145000,0,0,1,1,25000,9
23,150000,0,4,1,1,25000,10
23,165000,1,3,1,0,9600,5
22,153000,1,5,0,3,24000,15
24,165000,1,5,4,1,20000,10
25,165000,1,0,5,5,25000,19
21,165000,1,5,1,0,20000,6
23,16000,3,7,2,0,6000,7
23,16000,1,3,0,2,2275,13
23,16000,3,7,4,0,2000,6
23,148000,0,1,0,4,25000,14
23,16000,1,1,2,2,5600,12
24,16020,3,3,3,4,3625,17
22,16094,1,2,3,0,5500,7
25,175000,0,2,4,0,25000,8
22,16200,3,6,4,1,2000,12
24,185000,0,7,5,2,25000,12
25,162000,0,9,4,2,25000,11
26,161000,0,10,3,0,30000,7
22,160000,1,0,2,1,35000,10
25,225000,0,5,3,1,25000,11
25,16400,3,1,4,0,5000,8
23,16500,3,6,3,1,4375,9
25,49500,0,6,4,2,24750,14
23,60000,0,4,0,1,24750,9
24,84200,0,8,2,2,24500,13
22,16800,1,5,1,1,2000,10
24,92000,0,8,2,1,24500,11
23,160000,1,5,4,0,35000,7
24,160000,1,9,3,4,12000,16
25,160000,1,1,4,1,12000,9
26,160000,0,6,4,2,25000,12
25,125800,1,0,2,3,10000,14
25,54000,0,2,4,2,24250,13
23,62500,0,1,1,1,24250,10
24,16800,1,4,0,0,3900,11
25,68400,0,9,4,4,24250,17
26,56045,0,1,2,3,24250,14
22,74000,0,7,0,3,24250,15
24,65453,0,9,2,3,24250,15
24,89908,0,1,3,1,24250,12
26,78000,0,0,5,4,24250,17
23,100000,0,0,4,2,24250,12
23,103000,0,6,4,3,24250,15
25,160000,1,2,1,0,9000,11
25,160000,3,5,3,1,15000,11
24,160000,1,3,3,3,20000,16
23,160000,1,2,1,3,25000,15
26,160000,1,0,0,2,13750,11
21,160000,1,3,3,3,15250,15
25,160000,1,3,3,2,20000,13
22,16800,1,0,5,2,4750,13
25,111996,0,9,4,3,24250,11
21,16800,1,0,3,1,6000,10
25,115200,0,0,5,1,24250,11
23,144000,0,0,1,1,24250,11
23,287000,0,3,1,1,24250,12
22,108000,0,1,5,3,24150,14
22,43000,0,7,0,2,24000,13
23,47004,0,1,3,1,24000,11
24,48000,0,4,3,3,24000,16
26,48000,0,4,2,0,24000,11
21,44964,0,2,1,3,24000,16
25,52000,0,4,4,1,24000,10
22,17352,1,4,1,2,2250,15
24,47000,0,3,4,5,24000,17
22,17400,1,6,3,1,1000,11
22,49000,0,2,2,4,24000,17
26,60000,0,0,4,0,24000,7
25,60000,0,3,4,1,24000,10
22,60000,0,0,4,0,24000,7
21,60000,0,5,2,1,24000,10
26,62004,0,9,0,0,24000,7
22,62400,0,3,1,3,24000,14
26,65000,0,10,0,0,24000,11
22,17760,1,6,1,2,4975,11
23,59000,0,5,0,4,24000,19
23,66000,0,6,3,0,24000,11
24,60000,0,0,3,3,24000,14
25,66143,0,9,1,0,24000,6
22,62250,0,3,4,4,24000,16
24,70000,0,8,1,1,24000,10
23,74000,0,7,0,1,24000,10
22,18000,3,3,4,0,3000,7
22,75000,0,6,1,1,24000,12
24,75000,0,9,2,1,24000,10
24,75000,0,7,5,2,24000,11
26,69000,0,0,0,5,24000,15
23,78000,0,4,4,2,24000,13
22,18000,3,4,3,1,2000,11
24,80000,0,2,2,1,24000,10
22,18000,3,1,5,0,3500,7
23,18000,3,3,1,0,4000,5
23,74700,0,6,4,3,24000,12
26,88596,0,3,4,1,24000,11
25,95000,0,4,1,0,24000,8
22,83000,0,6,0,4,24000,19
25,95000,0,9,3,0,24000,6
21,18000,3,3,5,3,4900,14
21,18000,3,4,1,1,5000,11
26,100000,0,5,4,2,24000,12
24,110000,0,7,3,3,24000,15
24,18000,3,0,5,0,6250,6
22,98000,0,7,0,5,24000,11
26,103872,0,6,0,6,24000,20
22,120000,0,4,1,1,24000,9
24,120000,0,1,3,1,24000,12
26,108000,0,9,1,6,24000,20
24,124080,0,4,4,3,24000,16
23,18000,1,1,2,3,2500,15
24,130000,0,7,0,1,24000,11
25,135000,0,8,4,1,24000,10
24,135000,0,4,5,2,24000,13
23,114750,0,2,2,6,24000,20
23,150000,0,0,1,0,24000,7
23,138000,0,7,0,3,24000,16
24,18000,3,6,4,0,13000,7
21,18000,3,0,3,1,6250,10
26,155000,0,7,0,1,24000,10
26,148000,0,1,1,5,24000,18
26,170000,0,3,0,2,24000,11
21,18000,3,1,4,1,2500,11
24,43896,0,8,5,1,23975,11
23,120000,0,4,2,2,23750,13
24,54996,0,2,4,1,23600,11
24,18000,1,0,0,1,10000,12
25,102000,0,9,0,2,23600,13
23,75000,0,3,4,4,23575,14
22,18000,3,2,2,2,4000,11
22,18000,3,1,2,3,5400,15
25,18000,1,1,2,1,4000,11
21,18000,3,5,3,1,3375,11
22,66960,0,1,3,0,23400,7
22,43385,0,7,4,2,23000,11
25,56544,0,3,1,1,23000,11
23,60000,0,2,3,1,23000,12
24,18000,1,3,3,2,1200,11
25,63208,0,9,1,1,23000,9
24,65000,0,0,5,1,23000,11
23,68000,0,7,1,1,23000,9
22,18000,3,1,0,1,3000,9
25,80000,0,9,3,2,23000,11
24,88000,0,1,3,3,23000,14
22,58600,0,5,2,1,22750,11
23,70000,0,7,0,2,22500,14
24,18287,3,3,5,1,3000,11
26,69846,0,2,1,5,22500,18
24,73000,0,0,3,4,22400,16
24,18500,1,8,4,0,5000,9
23,35000,0,2,0,1,22250,12
25,43000,0,9,5,2,22000,13
25,52000,0,4,4,1,22000,10
21,18701,1,0,4,3,4200,14
22,57000,0,6,1,1,22000,9
25,58000,0,0,2,2,22000,14
23,60000,0,6,0,1,22000,10
24,60000,0,3,3,2,22000,14
25,18840,1,5,1,1,3000,9
26,56000,0,7,2,4,22000,17
22,70000,0,3,1,1,22000,11
22,66000,0,1,1,5,22000,11
23,74064,0,3,0,1,22000,10
24,76597,0,5,1,1,22000,9
22,19000,3,6,2,0,3625,8
26,77000,0,0,3,0,22000,6
21,19000,3,5,2,0,6000,8
24,80000,0,0,2,0,22000,11
26,82600,0,10,3,1,22000,12
24,19000,3,3,2,2,7400,13
25,19000,3,3,0,0,4000,7
23,84000,0,3,0,1,22000,11
25,77650,0,8,4,1,22000,11
25,82000,0,1,1,4,22000,17
21,19012,1,0,0,3,3500,14
23,99996,0,3,0,0,22000,7
23,110000,0,0,4,1,22000,11
22,19200,1,6,4,1,4950,11
25,57000,0,4,4,1,21700,11
24,54000,0,5,3,2,21600,13
23,56000,0,8,2,6,21600,21
26,63000,0,2,0,2,21600,14
22,82000,0,3,4,2,21600,13
22,78000,0,6,0,1,21600,11
22,19200,3,0,3,1,2400,10
24,112140,0,8,2,0,21600,7
24,19200,1,4,5,0,7000,5
25,19200,3,4,1,1,3000,11
24,59000,0,5,2,3,21500,16
24,70000,0,5,5,1,21500,9
24,116000,0,5,1,3,21500,15
25,60000,0,5,1,0,21450,7
22,31000,0,5,0,1,21250,12
25,47052,0,5,3,1,21250,10
25,51060,0,9,3,0,21250,6
22,19200,1,6,0,2,5000,14
22,53000,0,3,2,1,21250,10
26,19200,3,0,1,1,9250,11
24,56000,0,8,3,3,21250,15
24,65000,0,4,1,3,21250,15
21,35000,0,3,3,1,21000,12
22,19200,1,6,5,3,1400,14
23,19200,1,7,2,0,3000,11
26,40000,0,3,2,0,21000,6
25,19200,3,2,3,1,1000,11
26,42000,0,0,2,5,21000,17
23,63000,0,2,2,1,21000,11
26,19200,1,5,3,0,4000,7
22,59000,0,2,4,1,21000,10
22,70500,0,3,4,2,21000,13
26,65219,0,11,0,3,21000,14
22,75000,0,2,1,1,21000,10
22,19200,1,3,2,3,5000,15
25,62047,0,9,2,4,21000,16
24,79000,0,8,5,0,21000,7
23,80000,0,3,2,1,21000,11
24,84000,0,8,2,1,21000,10
26,85000,0,3,5,2,21000,13
22,93000,0,1,1,1,21000,9
26,81000,0,10,1,4,21000,16
26,97000,0,1,1,0,21000,7
26,97000,0,3,1,2,21000,11
25,100000,0,2,4,3,21000,16
26,19200,2,0,4,2,7500,11
21,19253,1,4,0,0,6250,6
26,125000,0,5,5,0,21000,8
25,125000,0,9,1,2,21000,12
23,82000,0,2,4,1,20900,12
21,19500,1,0,1,1,15000,9
26,50000,0,7,3,0,20500,7
23,70000,0,2,1,2,20500,13
22,19800,3,1,1,0,2100,8
123,80004,0,2,1,1,20400,10
23,54000,0,7,4,0,20375,7
26,26000,0,10,1,1,20050,9
24,33000,0,1,0,1,20000,10
23,20000,3,0,4,1,5000,11
22,20000,3,6,4,1,9250,10
24,35364,0,1,2,1,20000,12
25,38000,0,4,2,3,20000,14
23,32000,0,3,0,3,20000,12
25,38004,0,6,2,2,20000,13
23,20000,1,2,2,1,6400,10
25,38556,0,9,4,2,20000,11
23,32900,0,1,1,3,20000,16
25,34000,0,10,5,1,20000,8
24,40000,0,4,4,1,20000,12
21,36000,0,5,2,3,20000,11
26,20000,1,5,2,0,4800,5
25,42000,0,2,1,2,20000,13
22,42224,0,7,3,0,20000,6
25,20000,3,0,4,3,5650,15
23,20000,1,7,1,2,3625,11
22,37212,0,6,0,4,20000,16
25,38000,0,9,2,1,20000,11
22,45000,0,0,1,0,20000,7
23,45000,0,4,4,1,20000,10
24,45000,0,8,2,4,20000,11
23,20000,3,7,2,0,1200,7
22,45000,0,1,0,2,20000,13
24,39000,0,5,2,3,20000,14
24,46500,0,5,1,1,20000,10
22,48000,0,7,3,1,20000,10
22,42000,0,1,4,3,20000,12
22,48500,0,1,3,1,20000,11
22,20000,3,3,1,0,7500,5
23,49400,0,0,1,0,20000,6
25,20000,1,1,3,0,4000,5
25,50000,0,10,0,0,20000,7
25,50000,0,9,1,2,20000,13
22,50000,0,6,0,2,20000,13
22,20000,3,1,3,2,5000,14
22,44000,0,2,1,4,20000,15
24,50866,0,6,2,1,20000,11
25,50950,0,5,5,1,20000,11
24,51000,0,8,3,1,20000,10
22,51000,0,5,1,1,20000,12
22,51000,0,0,1,2,20000,13
24,51500,0,6,3,1,20000,12
25,51996,0,9,3,1,20000,10
25,52000,0,1,1,1,20000,11
22,46000,0,2,0,3,20000,16
26,20000,1,1,4,0,1500,7
24,52000,0,8,1,3,20000,15
25,46000,0,9,0,2,20000,11
24,52559,0,9,5,1,20000,11
22,47000,0,5,2,3,20000,16
22,54000,0,2,1,1,20000,9
23,48000,0,7,2,3,20000,15
23,48000,0,0,2,3,20000,14
23,54000,0,1,3,1,20000,11
24,48912,0,0,2,2,20000,11
26,54996,0,8,1,1,20000,12
24,55000,0,8,5,0,20000,6
25,55000,0,3,0,0,20000,6
26,49000,0,0,5,5,20000,19
25,55000,0,0,3,1,20000,9
22,20000,1,0,4,1,16600,9
23,55000,0,5,0,1,20000,12
25,55200,0,7,3,1,20000,11
23,20004,1,6,4,0,7125,6
23,57000,0,3,1,3,20000,16
22,51012,0,1,4,3,20000,17
23,20004,1,2,1,4,2500,16
26,20004,1,4,5,1,3600,11
22,58000,0,0,0,2,20000,13
23,58800,0,7,0,0,20000,7
26,59000,0,10,2,0,20000,6
26,53000,0,1,4,4,20000,16
23,60000,0,7,2,0,20000,7
24,54000,0,2,3,3,20000,16
21,20245,3,5,3,0,3550,11
26,20280,1,5,5,0,7000,8
24,60000,0,0,4,1,20000,10
24,20352,3,3,3,0,7750,6
25,54000,0,6,4,1,20000,8
24,60000,0,8,3,0,20000,11
23,54000,0,6,0,3,20000,14
23,54000,0,2,4,1,20000,11
22,60000,0,4,1,0,20000,7
25,60000,0,2,1,1,20000,11
22,20400,1,6,1,3,6000,15
24,20400,1,5,0,1,5500,10
25,60000,0,9,1,1,20000,11
25,54000,0,1,4,3,20000,15
24,54000,0,1,4,4,20000,17
23,60000,0,3,1,1,20000,12
21,20400,3,2,1,2,1275,15
25,54000,0,1,0,3,20000,14
24,60000,0,0,4,1,20000,11
21,20400,3,5,2,1,2400,11
24,60000,0,8,4,3,20000,13
26,60000,0,3,5,1,20000,10
23,54504,0,1,4,4,20000,16
24,55000,0,2,3,4,20000,18
24,61000,0,2,5,1,20000,12
22,20400,3,0,0,3,3800,11
25,62000,0,3,2,0,20000,6
24,56000,0,3,1,3,20000,14
21,56000,0,4,3,4,20000,17
24,62400,0,8,5,1,20000,11
25,62400,0,7,3,1,20000,11
25,63000,0,3,2,1,20000,12
26,58000,0,0,0,1,20000,10
23,65000,0,0,2,1,20000,10
24,20800,3,0,4,3,5000,16
23,65000,0,0,2,1,20000,10
23,65000,0,7,3,1,20000,11
24,20856,3,4,3,1,10000,10
25,20868,3,0,3,2,5375,13
26,59000,0,3,4,2,20000,11
23,59000,0,7,1,2,20000,12
21,21000,1,5,0,3,3500,17
26,65004,0,7,0,1,20000,11
25,59004,0,1,4,3,20000,14
23,59004,0,5,0,1,20000,10
23,65500,0,2,0,2,20000,13
22,66996,0,3,1,1,20000,12
23,67000,0,0,2,1,20000,11
24,67000,0,5,5,2,20000,13
26,68000,0,10,1,1,20000,10
25,68000,0,4,4,2,20000,12
24,62400,0,4,0,3,20000,14
23,69500,0,3,3,4,20000,17
25,70000,0,5,5,1,20000,9
22,70000,0,2,4,0,20000,6
25,64000,0,0,5,4,20000,11
25,71004,0,9,4,3,20000,14
22,21000,1,4,0,1,3000,11
23,71004,0,8,1,3,20000,14
23,55392,0,3,2,3,20000,15
24,72000,0,5,2,1,20000,11
24,21000,2,4,4,1,6000,12
23,66000,0,1,3,3,20000,14
22,66000,0,3,0,3,20000,14
24,72000,0,4,5,3,20000,14
24,74000,0,0,5,1,20000,12
22,21120,1,3,0,3,1625,16
25,75000,0,8,0,1,20000,11
21,21216,1,5,5,3,4500,11
25,21221,1,4,3,1,8500,9
24,75000,0,4,5,1,20000,8
26,75000,0,5,2,0,20000,6
26,75000,0,3,1,0,20000,11
25,75000,0,0,4,1,20000,10
22,69000,0,6,0,1,20000,10
22,75000,0,2,3,2,20000,11
21,21600,1,6,4,0,7575,11
26,21600,3,5,1,1,5200,12
24,69000,0,0,5,4,20000,14
23,75600,0,3,4,4,20000,16
23,59497,0,0,2,4,20000,16
23,76000,0,7,2,1,20000,10
26,70000,0,7,0,2,20000,13
24,70000,0,8,3,4,20000,14
22,77004,0,6,0,2,20000,13
26,71004,0,0,5,3,20000,13
21,21600,3,4,3,0,7125,6
22,21600,1,4,1,0,4025,5
24,21600,1,8,2,0,8000,5
26,78000,0,8,5,2,20000,13
22,21600,1,4,4,2,4000,12
26,21600,3,4,2,1,4200,9
22,21600,1,6,3,2,1400,11
123,78000,0,7,3,1,20000,11
23,61200,0,4,2,1,20000,11
21,21600,1,2,0,0,3800,5
24,72000,0,6,0,3,20000,11
23,78000,0,3,3,1,20000,11
23,78500,0,7,2,2,20000,13
23,79000,0,5,1,3,20000,16
23,80000,0,4,2,0,20000,7
23,21600,3,2,3,2,6000,12
22,62900,0,6,2,3,20000,14
24,80000,0,3,3,2,20000,13
25,80000,0,7,1,1,20000,8
23,21600,1,7,1,0,2000,6
22,80000,0,3,1,2,20000,13
22,21600,3,3,3,0,8500,6
26,62900,0,2,2,2,20000,13
26,21600,1,0,5,1,1000,10
25,74004,0,2,4,4,20000,15
25,80004,0,9,5,2,20000,14
23,80700,0,7,2,1,20000,11
22,81000,0,3,0,2,20000,13
24,21600,1,0,0,3,2000,14
22,82000,0,6,1,2,20000,11
23,76042,0,6,5,3,20000,15
22,76654,0,2,1,2,20000,13
24,83500,0,1,1,2,20000,13
